"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 03 13:43:23 GMT 2025","Mon Nov 03 13:44:02 GMT 2025","38977","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get rejected if recorded date is invalid in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if recorded_date is invalid in batch file"
"passed","Mon Nov 03 13:44:41 GMT 2025","Mon Nov 03 13:45:15 GMT 2025","33847","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person date of birth is invalid in batch file"
"passed","Mon Nov 03 13:48:12 GMT 2025","Mon Nov 03 13:49:00 GMT 2025","48540","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get successful if action flag has different cases","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if action flag has different cases"
"passed","Mon Nov 03 13:45:54 GMT 2025","Mon Nov 03 13:46:40 GMT 2025","45629","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get successful if performer is invalid in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if performer is invalid in batch file"
"passed","Mon Nov 03 13:46:40 GMT 2025","Mon Nov 03 13:47:27 GMT 2025","47065","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get successful with different valid value in gender field","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful with different valid value in gender field"
"passed","Mon Nov 03 13:49:35 GMT 2025","Mon Nov 03 13:50:46 GMT 2025","71140","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get successful if non mandatory fields are missing in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if non mandatory fields are missing in batch file"
"passed","Mon Nov 03 13:49:00 GMT 2025","Mon Nov 03 13:49:35 GMT 2025","34538","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file"
"passed","Mon Nov 03 13:41:46 GMT 2025","Mon Nov 03 13:42:39 GMT 2025","52950","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","Verify that minimum dataset vaccination record will be created through batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file"
"passed","Mon Nov 03 13:47:27 GMT 2025","Mon Nov 03 13:48:12 GMT 2025","44544","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file"
"passed","Mon Nov 03 13:40:49 GMT 2025","Mon Nov 03 13:41:46 GMT 2025","56505","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","Verify that full dataset vaccination record will be created through batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file"
"passed","Mon Nov 03 13:44:02 GMT 2025","Mon Nov 03 13:44:41 GMT 2025","39025","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get rejected if expiry date is invalid in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if expiry_date is invalid in batch file"
"passed","Mon Nov 03 13:45:15 GMT 2025","Mon Nov 03 13:45:54 GMT 2025","39773","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","verify that vaccination record will be get rejected if Person nhs number, name and gender is invalid in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person nhs number, name and gender is invalid in batch file"
"passed","Mon Nov 03 13:42:39 GMT 2025","Mon Nov 03 13:43:23 GMT 2025","44203","features.batchTests.Steps","Create the immunization event for a patient through batch file","","","","Verify that vaccination record will be get rejected if date and time is invalid in batch file","/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that vaccination record will be get rejected if date_and_time is invalid in batch file"
